Simulation loop;Category;Number of events;Bigger timestamp;
1;4;927713;8654;
1;9;520335;6461;
1;1;213025;5044;
2;9;520335;6461;
2;6;787770;8220;
2;2;314752;5800;
3;10;335381;6599;
3;1;213025;5044;
3;3;519177;7260;
4;8;440860;6645;
4;1;213025;5044;
4;6;787770;8220;
5;8;440860;6645;
5;5;858811;7398;
5;10;335381;6599;
6;6;787770;8220;
6;5;858811;7398;
6;4;927713;8654;
7;6;787770;8220;
7;5;551463;7627;
7;10;335381;6599;
8;6;787770;8220;
8;9;520335;6461;
8;5;551463;7627;
9;9;520335;6461;
9;1;213025;5044;
9;4;927713;8654;
10;1;213025;5044;
10;9;520335;6461;
10;6;787770;8220;
