Categories;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Sample times;0;4120;11054;16444;21905;27879;33920;39995;45484;49779;54823;58843;63510;68990;75650;79650;84144;89997;94287;100083;105636;113600;118377;122580;127700;133138;138223;143433;151809;156592;161206;167362;173532;178116;183952;188666;193555;199448;204418;209927;214726;221002;226717;233188;238259;243605;250125;255146;261493;267934;274321;280964;287616;294274;298600;304189;310870;315490;321814;327336;331803;336109;341019;345715;350720;356069;359977;364810;370097;374056;380110;385761;391131;397065;401432;406612;411934;416860;420956;425898;429017;433598;438038;444267;448701;452560;457216;462261;466409;472794;476384;481969;487039;491309;494452;500815;506604;511466;517851;522971;526830;533826;541341;549454;558098;565825;569895;582150;589051;597705;609598;617336;625369;635516;641685;652386;659075;668548;679681;688983;697465;705116;709216;715247;720234;727233;736937;745366;751951;759561;765431;771041;779375;787776;796114;802832;814459;823973;832841;840647;848935;860779;867606;876718;883174;891120;896732;902963;910067;919042;927174;933691;940663;949798;960265;967177;979342;987743;994195;1001583;1008531;1020284;1026109;1035981;1042711;1050402;1058423;1065171;1071162;1078944;1086600;1092831;1102732;1110703;1119904;1126615;1137012;1141392;1148463;1158023;1166343;1174879;1181690;1189970;1198945;1206906;1213745;1222922;1232419;1241827;1247732;1255452;1264191;1272644;1281245;1289070;1297394;1309338;1318185;1323795;1335639;1342019;1348352;1355097;1362796;1368588;1373489;1380367;1385612;1391030;1396208;1404243;1411169;1417802;1422077;1427472;1433033;1439372;1445423;1451714;1457109;1463772;1469482;1476606;1482439;1488186;1495692;1500552;1505789;1512315;1519681;1527764;1533277;1540647;1546849;1551234;1556599;1565827;1572476;1578757;1584047;1590430;1594980;1603369;1614676;1622771;1629389;1636033;1641466;1650904;1656255;1662512;1669002;1675161;1681465;1687453;1691623;1696479;1702471;1709401;1714827;1720971;1728008;1737697;1744153;1749537;1755429;1762337;1767037;1773105;1778124;1784398;1791607;1799024;1805623;1811723;1818583;1824878;1830485;1835951;1841218;1847369;1854871;1860172;1866409;1872390;1876922;1882264;1888264;1893902;1901410;1905720;1911368;1917900;1923904;1929957;1934777;1942189;1949928;1957434;1963890

timestamps;neuron tags
2;1
242;1
482;1
722;1
962;1
1202;1
1442;1
1682;1
1922;1
2162;1
2402;1
2642;1
2882;1
3122;1
3362;1
3602;1
3842;1
4082;1
4322;1
4562;1
4802;1
5042;1
5282;1
5522;1
5762;1
6002;1
6242;1
6482;1
6722;1
6962;1
7202;1
7442;1
7682;1
7922;1
8162;1
8402;1
8642;1
8882;1
9122;1
9362;1
9602;1
9842;1
10082;1
10322;1
10562;1
10802;1
11042;1
11282;1
11522;1
11762;1
12002;1
12242;1
12482;1
12722;1
12962;1
13202;1
13442;1
13682;1
13922;1
14162;1
14402;1
14642;1
14882;1
15122;1
15362;1
15602;1
15842;1
16082;1
16322;1
16562;1
16802;1
17042;1
17282;1
17522;1
17762;1
18002;1
18242;1
18482;1
18722;1
18962;1
19202;1
19442;1
19682;1
19922;1
20162;1
20402;1
20642;1
20882;1
21122;1
21362;1
21602;1
21842;1
22082;1
22322;1
22562;1
22802;1
23042;1
23282;1
23522;1
23762;1
24002;1
24242;1
24482;1
24722;1
24962;1
25202;1
25442;1
25682;1
25922;1
26162;1
26402;1
26642;1
26882;1
27122;1
27362;1
27602;1
27842;1
28082;1
28322;1
28562;1
28802;1
29042;1
29282;1
29522;1
29762;1
30002;1
30242;1
30482;1
30722;1
30962;1
31202;1
31442;1
31682;1
31922;1
32162;1
32402;1
32642;1
32882;1
33122;1
33362;1
33602;1
33842;1
34082;1
34322;1
34562;1
34802;1
35042;1
35282;1
35522;1
35762;1
36002;1
36242;1
36482;1
36722;1
36962;1
37202;1
37442;1
37682;1
37922;1
38162;1
38402;1
38642;1
38882;1
39122;1
39362;1
39602;1
39842;1
40082;1
40322;1
40562;1
40802;1
41042;1
41282;1
41522;1
41762;1
42002;1
42242;1
42482;1
42722;1
42962;1
43202;1
43442;1
43682;1
43922;1
44162;1
44402;1
44642;1
44882;1
45122;1
45362;1
45602;1
45842;1
46082;1
46322;1
46562;1
46802;1
47042;1
47282;1
47522;1
47762;1
48002;1
48242;1
48482;1
48722;1
48962;1
49202;1
49442;1
49682;1
49922;1
50162;1
50402;1
50642;1
50882;1
51122;1
51362;1
51602;1
51842;1
52082;1
52322;1
52562;1
52802;1
53042;1
53282;1
53522;1
53762;1
54002;1
54242;1
54482;1
54722;1
54962;1
55202;1
55442;1
55682;1
55922;1
56162;1
56402;1
56642;1
56882;1
57122;1
57362;1
57602;1
57842;1
58082;1
58322;1
58562;1
58802;1
59042;1
59282;1
59522;1
59762;1
60002;1
60242;1
60482;1
60722;1
60962;1
61202;1
61442;1
61682;1
61922;1
62162;1
62402;1
62642;1
62882;1
63122;1
63362;1
63602;1
63842;1
64082;1
64322;1
64562;1
64802;1
65042;1
65282;1
65522;1
65762;1
66002;1
66242;1
66482;1
66722;1
66962;1
67202;1
67442;1
67682;1
67922;1
68162;1
68402;1
68642;1
68882;1
69122;1
69362;1
69602;1
69842;1
70082;1
70322;1
70562;1
70802;1
71042;1
71282;1
71522;1
71762;1
72002;1
72242;1
72482;1
72722;1
72962;1
73202;1
73442;1
73682;1
73922;1
74162;1
74402;1
74642;1
74882;1
75122;1
75362;1
75602;1
75842;1
76082;1
76322;1
76562;1
76802;1
77042;1
77282;1
77522;1
77762;1
78002;1
78242;1
78482;1
78722;1
78962;1
79202;1
79442;1
79682;1
79922;1
