Simulation loop;Category;Sample;Bigger timestamp;
1;1;73;4120;
$s;2;1;87;6934;
$s;3;1;48;5390;
$s;4;1;28;5461;
$s;5;1;89;5974;
$s;6;1;63;6041;
$s;7;1;61;6075;
$s;8;1;70;5489;
$s;9;1;30;4295;
$s;10;1;1;5044;
$s;11;1;18;4020;
$s;12;1;49;4667;
$s;13;1;93;5480;
$s;14;1;97;6660;
$s;15;1;74;4000;
$s;16;1;13;4494;
$s;17;1;20;5853;
$s;18;1;82;4290;
$s;19;1;51;5796;
$s;20;1;10;5553;
$s;21;1;23;7964;
$s;22;1;62;4777;
$s;23;1;80;4203;
$s;24;1;16;5120;
$s;25;1;33;5438;
$s;26;1;2;5085;
$s;27;1;14;5210;
$s;28;1;85;8376;
$s;29;1;4;4783;
$s;30;1;37;4614;
$s;31;1;17;6156;
$s;32;1;77;6170;
$s;33;1;7;4584;
$s;34;1;67;5836;
$s;35;1;78;4714;
$s;36;1;56;4889;
$s;37;1;66;5893;
$s;38;1;3;4970;
$s;39;1;32;5509;
$s;40;1;69;4799;
$s;41;1;58;6276;
$s;42;1;6;5715;
$s;43;1;5;6471;
$s;44;1;65;5071;
$s;45;1;96;5346;
$s;46;1;86;6520;
$s;47;1;41;5021;
$s;48;1;59;6347;
$s;49;1;72;6441;
$s;50;1;60;6387;
$s;51;1;9;6643;
$s;52;1;43;6652;
$s;53;1;94;6658;
$s;54;1;84;4326;
$s;55;1;53;5589;
$s;56;1;24;6681;
$s;57;1;12;4620;
$s;58;1;79;6324;
$s;59;1;29;5522;
$s;60;1;50;4467;
$s;61;1;83;4306;
$s;62;1;15;4910;
$s;63;1;26;4696;
$s;64;1;35;5005;
$s;65;1;91;5349;
$s;66;1;52;3908;
$s;67;1;42;4833;
$s;68;1;34;5287;
$s;69;1;38;3959;
$s;70;1;68;6054;
$s;71;1;55;5651;
$s;72;1;27;5370;
$s;73;1;11;5934;
$s;74;1;54;4367;
$s;75;1;19;5180;
$s;76;1;92;5322;
$s;77;1;95;4926;
$s;78;1;45;4096;
$s;79;1;31;4942;
$s;80;1;47;3119;
$s;81;1;90;4581;
$s;82;1;8;4440;
$s;83;1;25;6229;
$s;84;1;81;4434;
$s;85;1;76;3859;
$s;86;1;39;4656;
$s;87;1;40;5045;
$s;88;1;22;4148;
$s;89;1;64;6385;
$s;90;1;75;3590;
$s;91;1;71;5585;
$s;92;1;36;5070;
$s;93;1;21;4270;
$s;94;1;46;3143;
$s;95;1;88;6363;
$s;96;1;44;5789;
$s;97;1;57;4862;
$s;98;1;64;6385;
$s;99;1;16;5120;
$s;100;1;76;3859;
$s;101;4;7;6996;
$s;102;4;17;7515;
$s;103;4;73;8113;
$s;104;4;56;8644;
$s;105;4;71;7727;
$s;106;4;75;4070;
$s;107;4;50;12255;
$s;108;4;91;6901;
$s;109;4;1;8654;
$s;110;4;68;11893;
$s;111;4;12;7738;
$s;112;4;41;8033;
$s;113;4;88;10147;
$s;114;4;9;6169;
$s;115;4;59;10701;
$s;116;4;54;6689;
$s;117;4;65;9473;
$s;118;4;40;11133;
$s;119;4;89;9302;
$s;120;4;18;8482;
$s;121;4;26;7651;
$s;122;4;77;4100;
$s;123;4;30;6031;
$s;124;4;93;4987;
$s;125;4;6;6999;
$s;126;4;25;9704;
$s;127;4;57;8429;
$s;128;4;69;6585;
$s;129;4;13;7610;
$s;130;4;51;5870;
$s;131;4;76;5610;
$s;132;4;14;8334;
$s;133;4;5;8401;
$s;134;4;45;8338;
$s;135;4;61;6718;
$s;136;4;90;11627;
$s;137;4;15;9514;
$s;138;4;24;8868;
$s;139;4;96;7806;
$s;140;4;58;8288;
$s;141;4;86;11844;
$s;142;4;46;6827;
$s;143;4;34;9112;
$s;144;4;32;6456;
$s;145;4;4;7946;
$s;146;4;85;5612;
$s;147;4;80;6231;
$s;148;4;22;7104;
$s;149;4;21;8975;
$s;150;4;49;8132;
$s;151;4;29;6517;
$s;152;4;72;6972;
$s;153;4;23;9135;
$s;154;4;31;10467;
$s;155;4;11;6912;
$s;156;4;3;12165;
$s;157;4;35;8401;
$s;158;4;16;6452;
$s;159;4;43;7388;
$s;160;4;70;6948;
$s;161;4;60;11753;
$s;162;4;37;5825;
$s;163;4;87;9872;
$s;164;4;83;6730;
$s;165;4;78;7691;
$s;166;4;67;8021;
$s;167;4;38;6748;
$s;168;4;79;5991;
$s;169;4;8;7782;
$s;170;4;55;7656;
$s;171;4;84;6231;
$s;172;4;95;9901;
$s;173;4;20;7971;
$s;174;4;39;9201;
$s;175;4;63;6711;
$s;176;4;33;10397;
$s;177;4;74;4380;
$s;178;4;19;7071;
$s;179;4;64;9560;
$s;180;4;92;8320;
$s;181;4;36;8536;
$s;182;4;52;6811;
$s;183;4;97;8280;
$s;184;4;62;8975;
$s;185;4;82;7961;
$s;186;4;47;6839;
$s;187;4;44;9177;
$s;188;4;10;9497;
$s;189;4;48;9408;
$s;190;4;81;5905;
$s;191;4;98;7720;
$s;192;4;28;8739;
$s;193;4;27;8453;
$s;194;4;66;8601;
$s;195;4;94;7825;
$s;196;4;53;8324;
$s;197;4;2;11944;
$s;198;4;42;8847;
$s;199;4;76;5610;
$s;200;4;86;11844;
$s;201;10;15;6380;
$s;202;10;18;6333;
$s;203;10;34;6745;
$s;204;10;2;7699;
$s;205;10;37;5792;
$s;206;10;6;4901;
$s;207;10;73;6878;
$s;208;10;83;5245;
$s;209;10;50;5418;
$s;210;10;93;5178;
$s;211;10;42;8035;
$s;212;10;97;6926;
$s;213;10;22;6633;
$s;214;10;46;4275;
$s;215;10;30;5395;
$s;216;10;36;5561;
$s;217;10;12;6339;
$s;218;10;11;6051;
$s;219;10;91;6291;
$s;220;10;90;5395;
$s;221;10;63;6663;
$s;222;10;38;5710;
$s;223;10;35;7124;
$s;224;10;80;5833;
$s;225;10;71;5747;
$s;226;10;65;7506;
$s;227;10;9;4860;
$s;228;10;7;5237;
$s;229;10;57;6526;
$s;230;10;56;7366;
$s;231;10;24;8083;
$s;232;10;19;5513;
$s;233;10;33;7370;
$s;234;10;94;6202;
$s;235;10;47;4385;
$s;236;10;84;5365;
$s;237;10;86;9228;
$s;238;10;61;6649;
$s;239;10;13;6281;
$s;240;10;48;5290;
$s;241;10;67;6383;
$s;242;10;77;4550;
$s;243;10;28;8389;
$s;244;10;89;11307;
$s;245;10;62;8095;
$s;246;10;68;6618;
$s;247;10;27;6644;
$s;248;10;3;5433;
$s;249;10;26;9438;
$s;250;10;32;5351;
$s;251;10;53;6257;
$s;252;10;20;6490;
$s;253;10;95;6159;
$s;254;10;49;6304;
$s;255;10;14;5988;
$s;256;10;40;4170;
$s;257;10;23;4856;
$s;258;10;60;5992;
$s;259;10;45;6930;
$s;260;10;51;5426;
$s;261;10;58;6144;
$s;262;10;64;7037;
$s;263;10;87;9689;
$s;264;10;92;6456;
$s;265;10;52;5384;
$s;266;10;8;5892;
$s;267;10;17;6908;
$s;268;10;76;4700;
$s;269;10;96;6068;
$s;270;10;66;5019;
$s;271;10;41;6274;
$s;272;10;25;7209;
$s;273;10;88;7417;
$s;274;10;1;6599;
$s;275;10;79;6100;
$s;276;10;4;6860;
$s;277;10;54;6295;
$s;278;10;31;5607;
$s;279;10;59;5466;
$s;280;10;43;5267;
$s;281;10;21;6151;
$s;282;10;72;7502;
$s;283;10;44;5301;
$s;284;10;70;6237;
$s;285;10;55;5981;
$s;286;10;39;4532;
$s;287;10;85;5342;
$s;288;10;16;6000;
$s;289;10;29;5638;
$s;290;10;82;7508;
$s;291;10;75;4310;
$s;292;10;10;5648;
$s;293;10;98;6532;
$s;294;10;69;6004;
$s;295;10;81;6053;
$s;296;10;74;4820;
$s;297;10;5;7412;
$s;298;10;78;7739;
$s;299;10;65;7506;
$s;300;10;92;6456;
$s;
