Categories;;1;1;1;2;2;2;3;3;3;
Sample times;0;5438;10876;16314;21752;28986;34651

timestamps;neuron tags
2;1
242;1
482;1
722;1
962;1
1202;1
1442;1
1682;1
1922;1
2162;1
2402;1
2642;1
2882;1
3122;1
3362;1
3602;1
3842;1
4082;1
4322;1
4562;1
4802;1
5042;1
5282;1
5522;1
5762;1
6002;1
6242;1
6482;1
6722;1
6962;1
7202;1
7442;1
7682;1
7922;1
8162;1
8402;1
8642;1
8882;1
9122;1
9362;1
9602;1
9842;1
10082;1
10322;1
10562;1
10802;1
11042;1
11282;1
11522;1
11762;1
12002;1
12242;1
12482;1
12722;1
12962;1
13202;1
13442;1
13682;1
13922;1
14162;1
14402;1
14642;1
14882;1
15122;1
15362;1
15602;1
15842;1
16082;1
16322;1
16562;1
16802;1
17042;1
17282;1
17522;1
17762;1
18002;1
18242;1
18482;1
18722;1
18962;1
19202;1
19442;1
19682;1
19922;1
20162;1
20402;1
20642;1
20882;1
21122;1
21362;1
21602;1
21842;1
22082;1
22322;1
22562;1
22802;1
23042;1
23282;1
23522;1
23762;1
24002;1
24242;1
24482;1
24722;1
24962;1
25202;1
25442;1
25682;1
25922;1
26162;1
26402;1
26642;1
26882;1
27122;1
27362;1
27602;1
27842;1
28082;1
28322;1
28562;1
28802;1
29042;1
29282;1
29522;1
29762;1
30002;1
30242;1
30482;1
30722;1
30962;1
31202;11
31442;11
31682;6
31922;6
32162;4
32402;4
32642;3
32882;3
33122;10
33362;10
33602;8
33842;8
34082;2
34322;2
34562;5
