Simulation;Video;Category;Sample;Bigger timestamp;
1;1;4;63;6711;
1;2;4;35;8401;
1;3;4;57;8429;
1;4;4;90;11627;
1;5;4;49;8132;
1;6;4;60;11753;
1;7;4;64;9560;
1;8;4;76;5610;
1;9;4;21;8975;
1;10;4;33;10397;
1;11;4;73;8113;
1;12;4;39;9201;
1;13;4;41;8033;
1;14;4;81;5905;
1;15;4;74;4380;
1;16;4;8;7782;
1;17;4;44;9177;
1;18;4;4;7946;
1;19;4;9;6169;
1;20;4;75;4070;
1;21;4;16;6452;
1;22;4;38;6748;
1;23;4;88;10147;
1;24;4;80;6231;
1;25;4;32;6456;
1;26;4;70;6948;
1;27;4;59;10701;
1;28;4;97;8280;
1;29;4;34;9112;
1;30;4;62;8975;
1;31;4;48;9408;
1;32;4;51;5870;
1;33;4;7;6996;
1;34;4;28;8739;
1;35;4;17;7515;
1;36;4;29;6517;
1;37;4;66;8601;
1;38;4;45;8338;
1;39;4;18;8482;
1;40;4;71;7727;
1;41;4;96;7806;
1;42;4;1;8654;
1;43;4;50;12255;
1;44;4;2;11944;
1;45;4;55;7656;
1;46;4;36;8536;
1;47;4;23;9135;
1;48;4;65;9473;
1;49;4;92;8320;
1;50;4;14;8334;
1;51;9;52;5211;
1;52;9;69;2737;
1;53;9;4;6860;
1;54;9;6;5501;
1;55;9;74;3970;
1;56;9;91;5193;
1;57;9;79;5848;
1;58;9;54;6762;
1;59;9;49;6164;
1;60;9;71;7598;
1;61;9;48;6081;
1;62;9;88;7683;
1;63;9;36;6172;
1;64;9;57;6608;
1;65;9;96;5232;
1;66;9;95;7099;
1;67;9;50;5897;
1;68;9;58;4996;
1;69;9;80;6324;
1;70;9;67;7079;
1;71;9;31;6016;
1;72;9;19;6203;
1;73;9;17;6720;
1;74;9;16;6689;
1;75;9;46;5292;
1;76;9;10;6598;
1;77;9;77;4280;
1;78;9;81;4692;
1;79;9;68;6544;
1;80;9;41;5102;
1;81;9;83;4697;
1;82;9;11;5783;
1;83;9;43;7388;
1;84;9;82;6471;
1;85;9;73;7581;
1;86;9;37;4444;
1;87;9;29;5622;
1;88;9;75;4170;
1;89;9;27;7477;
1;90;9;12;5155;
1;91;9;61;5440;
1;92;9;38;5644;
1;93;9;47;7197;
1;94;9;65;7887;
1;95;9;44;11293;
1;96;9;18;7409;
1;97;9;42;8209;
1;98;9;86;8905;
1;99;9;85;5170;
1;100;9;62;7215;
1;101;3;49;7822;
1;102;3;71;5489;
1;103;3;25;7949;
1;104;3;41;5182;
1;105;3;27;7162;
1;106;3;32;5623;
1;107;3;26;7238;
1;108;3;44;7061;
1;109;3;70;6844;
1;110;3;6;5330;
1;111;3;19;5085;
1;112;3;34;6579;
1;113;3;55;6114;
1;114;3;5;6929;
1;115;3;3;5526;
1;116;3;96;7346;
1;117;3;90;7818;
1;118;3;73;6631;
1;119;3;75;4050;
1;120;3;24;6418;
1;121;3;92;6006;
1;122;3;64;5665;
1;123;3;28;5411;
1;124;3;77;4070;
1;125;3;86;18457;
1;126;3;9;6826;
1;127;3;88;10099;
1;128;3;30;5569;
1;129;3;31;6073;
1;130;3;53;5427;
1;131;3;76;4620;
1;132;3;14;5642;
1;133;3;81;4218;
1;134;3;37;4827;
1;135;3;46;6224;
1;136;3;57;6608;
1;137;3;80;6113;
1;138;3;83;4753;
1;139;3;16;5640;
1;140;3;54;7056;
1;141;3;59;6739;
1;142;3;18;6459;
1;143;3;33;8114;
1;144;3;13;6931;
1;145;3;1;7260;
1;146;3;52;6226;
1;147;3;61;6113;
1;148;3;82;5677;
1;149;3;29;5928;
1;150;3;21;5579;
